shadow_name,subset,small_best_iou,big_best_iou,delta,small_mean_iou,big_mean_iou,small_std_iou,big_std_iou,big_n_runs
letters_lower/c_dejavusansmono-bold,letters_lower,0.6732,0.7159,0.0427,0.6523,0.686,0.0162,0.0176,10
letters_lower/c_dejavuserif-bold,letters_lower,0.6148,0.658,0.0432,0.5926,0.6297,0.0167,0.0277,10
letters_lower/d_dejavusans-bold,letters_lower,0.7137,0.7274,0.0137,0.6565,0.6828,0.0248,0.0188,10
letters_lower/d_dejavusansmono-bold,letters_lower,0.704,0.7329,0.0289,0.6628,0.6852,0.0372,0.0243,10
letters_lower/d_dejavuserif-bold,letters_lower,0.6737,0.6829,0.0092,0.6043,0.6352,0.0329,0.0287,10
letters_lower/e_dejavusans-bold,letters_lower,0.5825,0.6232,0.0407,0.5604,0.5992,0.0193,0.0163,10
letters_lower/e_dejavusansmono-bold,letters_lower,0.592,0.6031,0.0111,0.5544,0.5847,0.0161,0.0136,10
letters_lower/e_dejavuserif-bold,letters_lower,0.5687,0.5913,0.0226,0.545,0.5705,0.019,0.0173,10
letters_lower/f_dejavusans-bold,letters_lower,0.7186,0.7527,0.0341,0.7026,0.7323,0.0134,0.0137,10
letters_lower/f_dejavusansmono-bold,letters_lower,0.6554,0.6929,0.0375,0.6296,0.6687,0.0215,0.0136,10
letters_lower/f_dejavuserif-bold,letters_lower,0.6868,0.6976,0.0108,0.6577,0.6752,0.0161,0.0121,10
letters_lower/g_dejavusans-bold,letters_lower,0.6367,0.6788,0.0421,0.6113,0.6444,0.0159,0.0214,10
letters_lower/g_dejavusansmono-bold,letters_lower,0.6534,0.6782,0.0248,0.6309,0.6544,0.015,0.013,10
letters_lower/g_dejavuserif-bold,letters_lower,0.625,0.6382,0.0132,0.5873,0.6227,0.0238,0.0158,10
letters_lower/h_dejavusans-bold,letters_lower,0.6979,0.7221,0.0242,0.6492,0.6648,0.0297,0.0357,10
letters_lower/h_dejavusansmono-bold,letters_lower,0.6833,0.7038,0.0205,0.6437,0.6683,0.0284,0.0197,10
letters_lower/h_dejavuserif-bold,letters_lower,0.6872,0.7131,0.0259,0.6237,0.6661,0.0318,0.0292,10
letters_lower/i_dejavusans-bold,letters_lower,0.6885,0.7104,0.0219,0.65,0.6778,0.0289,0.0282,10
letters_lower/i_dejavusansmono-bold,letters_lower,0.5924,0.6441,0.0517,0.5601,0.6057,0.0191,0.0195,10
letters_lower/i_dejavuserif-bold,letters_lower,0.6624,0.6899,0.0275,0.6389,0.6695,0.0123,0.0225,10
letters_lower/j_dejavusans-bold,letters_lower,0.6503,0.6881,0.0378,0.6138,0.6504,0.0327,0.0403,10
letters_lower/j_dejavusansmono-bold,letters_lower,0.6172,0.5886,-0.0286,0.518,0.5365,0.0449,0.0291,10
letters_lower/j_dejavuserif-bold,letters_lower,0.5964,0.6275,0.0311,0.567,0.5878,0.0242,0.0375,10
letters_lower/k_dejavusans-bold,letters_lower,0.6438,0.7032,0.0594,0.6119,0.6548,0.0178,0.0319,10
letters_lower/k_dejavusansmono-bold,letters_lower,0.6633,0.6652,0.0019,0.622,0.6339,0.0246,0.0201,10
letters_lower/k_dejavuserif-bold,letters_lower,0.6096,0.6736,0.064,0.5761,0.6204,0.0172,0.0236,10
letters_lower/l_dejavusans-bold,letters_lower,0.7401,0.7675,0.0274,0.7211,0.7504,0.0108,0.0108,10
letters_lower/l_dejavusansmono-bold,letters_lower,0.6881,0.7006,0.0125,0.6386,0.6632,0.0334,0.0264,10
letters_lower/l_dejavuserif-bold,letters_lower,0.7423,0.7485,0.0062,0.7076,0.7332,0.0187,0.0123,10
letters_lower/m_dejavusans-bold,letters_lower,0.5309,0.551,0.0201,0.4828,0.5129,0.021,0.025,10
letters_lower/m_dejavusansmono-bold,letters_lower,0.5847,0.606,0.0213,0.5493,0.5716,0.0308,0.0327,10
letters_lower/m_dejavuserif-bold,letters_lower,0.5054,0.5347,0.0293,0.461,0.5007,0.0285,0.025,10
letters_lower/n_dejavusans-bold,letters_lower,0.6316,0.6692,0.0376,0.5996,0.6382,0.0222,0.0211,10
letters_lower/n_dejavusansmono-bold,letters_lower,0.6748,0.6833,0.0085,0.6163,0.6561,0.0307,0.0264,10
letters_lower/n_dejavuserif-bold,letters_lower,0.5996,0.6192,0.0196,0.5735,0.6016,0.0158,0.011,10
letters_lower/o_dejavusans-bold,letters_lower,0.6965,0.7294,0.0329,0.6477,0.6883,0.0307,0.0258,10
letters_lower/o_dejavusansmono-bold,letters_lower,0.7232,0.7297,0.0065,0.6627,0.6989,0.0295,0.026,10
letters_lower/o_dejavuserif-bold,letters_lower,0.6751,0.6863,0.0112,0.618,0.6503,0.0328,0.0213,10
letters_lower/p_dejavusans-bold,letters_lower,0.6716,0.6824,0.0108,0.6231,0.6477,0.0255,0.027,10
letters_lower/p_dejavusansmono-bold,letters_lower,0.6554,0.7024,0.047,0.6319,0.6731,0.0149,0.017,10
letters_lower/p_dejavuserif-bold,letters_lower,0.6474,0.6797,0.0323,0.6097,0.655,0.0204,0.0213,10
letters_lower/q_dejavusans-bold,letters_lower,0.5897,0.6224,0.0327,0.5555,0.595,0.029,0.0144,10
letters_lower/q_dejavusansmono-bold,letters_lower,0.6,0.625,0.025,0.5782,0.6014,0.0121,0.0171,10
letters_lower/q_dejavuserif-bold,letters_lower,0.6076,0.631,0.0234,0.564,0.5937,0.0253,0.0248,10
letters_lower/r_dejavusans-bold,letters_lower,0.7905,0.7987,0.0082,0.7552,0.7718,0.0193,0.0156,10
letters_lower/r_dejavusansmono-bold,letters_lower,0.7405,0.7631,0.0226,0.7197,0.7386,0.0176,0.0156,10
letters_lower/r_dejavuserif-bold,letters_lower,0.6735,0.6949,0.0214,0.6463,0.66,0.0163,0.0225,10
letters_lower/s_dejavusans-bold,letters_lower,0.5652,0.5989,0.0337,0.5467,0.571,0.0117,0.0185,10
letters_lower/s_dejavusansmono-bold,letters_lower,0.5809,0.5973,0.0164,0.5508,0.5676,0.0191,0.0167,10
letters_lower/s_dejavuserif-bold,letters_lower,0.5357,0.5887,0.053,0.4927,0.542,0.0273,0.0201,10
letters_lower/t_dejavusans-bold,letters_lower,0.6934,0.7171,0.0237,0.6744,0.7007,0.0112,0.0083,10
letters_lower/t_dejavusansmono-bold,letters_lower,0.6552,0.6832,0.028,0.6318,0.6531,0.0182,0.0179,10
letters_lower/t_dejavuserif-bold,letters_lower,0.6999,0.7332,0.0333,0.6765,0.7,0.0158,0.013,10
letters_lower/u_dejavusans-bold,letters_lower,0.6722,0.6969,0.0247,0.62,0.6645,0.0225,0.0186,10
letters_lower/u_dejavusansmono-bold,letters_lower,0.7161,0.728,0.0119,0.6468,0.6959,0.0386,0.0235,10
letters_lower/u_dejavuserif-bold,letters_lower,0.6078,0.6332,0.0254,0.5754,0.6098,0.0196,0.0195,10
letters_lower/v_dejavusans-bold,letters_lower,0.7126,0.7475,0.0349,0.6901,0.72,0.0151,0.0229,10
letters_lower/v_dejavusansmono-bold,letters_lower,0.7182,0.7531,0.0349,0.6983,0.7327,0.0161,0.0096,10
letters_lower/v_dejavuserif-bold,letters_lower,0.638,0.668,0.03,0.6116,0.6516,0.0192,0.0145,10
letters_lower/w_dejavusans-bold,letters_lower,0.5607,0.5812,0.0205,0.5224,0.5437,0.0236,0.0206,10
letters_lower/w_dejavusansmono-bold,letters_lower,0.5938,0.6338,0.04,0.5563,0.5981,0.0249,0.0379,10
letters_lower/w_dejavuserif-bold,letters_lower,0.486,0.5319,0.0459,0.468,0.4993,0.0132,0.0238,10
letters_lower/x_dejavusans-bold,letters_lower,0.5779,0.6259,0.048,0.5477,0.5843,0.0223,0.03,10
letters_lower/x_dejavusansmono-bold,letters_lower,0.5996,0.6314,0.0318,0.5511,0.595,0.026,0.0231,10
letters_lower/x_dejavuserif-bold,letters_lower,0.5321,0.6005,0.0684,0.4989,0.5352,0.0334,0.0331,10
letters_lower/y_dejavusans-bold,letters_lower,0.7035,0.7375,0.034,0.6749,0.7177,0.018,0.0133,10
letters_lower/y_dejavusansmono-bold,letters_lower,0.6996,0.7283,0.0287,0.6542,0.6855,0.028,0.0274,10
letters_lower/y_dejavuserif-bold,letters_lower,0.5752,0.6026,0.0274,0.5506,0.5771,0.0182,0.0147,10
letters_lower/z_dejavusans-bold,letters_lower,0.5865,0.6025,0.016,0.5686,0.5861,0.0127,0.0137,10
letters_lower/z_dejavusansmono-bold,letters_lower,0.5923,0.6525,0.0602,0.5551,0.5877,0.0194,0.0307,10
letters_lower/z_dejavuserif-bold,letters_lower,0.5793,0.6193,0.04,0.5558,0.5877,0.0182,0.0175,10
letters_upper/A_dejavusans-bold,letters_upper,0.5945,0.6408,0.0463,0.56,0.5927,0.0225,0.0237,10
letters_upper/A_dejavusansmono-bold,letters_upper,0.6054,0.6719,0.0665,0.5842,0.6337,0.0162,0.0202,10
letters_upper/A_dejavuserif-bold,letters_upper,0.5104,0.585,0.0746,0.4882,0.5403,0.0181,0.0327,10
letters_upper/B_dejavusans-bold,letters_upper,0.6746,0.6912,0.0166,0.6094,0.6484,0.0293,0.0328,10
letters_upper/B_dejavusansmono-bold,letters_upper,0.6474,0.688,0.0406,0.6118,0.6542,0.0231,0.0187,10
letters_upper/B_dejavuserif-bold,letters_upper,0.5741,0.6119,0.0378,0.5518,0.5966,0.011,0.0104,10
letters_upper/C_dejavusans-bold,letters_upper,0.6887,0.7061,0.0174,0.61,0.6673,0.0366,0.0204,10
letters_upper/C_dejavusansmono-bold,letters_upper,0.6589,0.711,0.0521,0.6235,0.6686,0.0233,0.034,10
letters_upper/C_dejavuserif-bold,letters_upper,0.5885,0.6082,0.0197,0.5615,0.5718,0.0251,0.0266,10
letters_upper/D_dejavusans-bold,letters_upper,0.6557,0.7022,0.0465,0.6325,0.674,0.0153,0.0184,10
letters_upper/D_dejavusansmono-bold,letters_upper,0.7277,0.7511,0.0234,0.6804,0.7283,0.0265,0.0129,10
letters_upper/D_dejavuserif-bold,letters_upper,0.6493,0.6485,-0.0008,0.5968,0.6193,0.026,0.0214,10
letters_upper/E_dejavusans-bold,letters_upper,0.647,0.6745,0.0275,0.5938,0.6146,0.0186,0.0322,10
letters_upper/E_dejavusansmono-bold,letters_upper,0.6268,0.6704,0.0436,0.5829,0.6199,0.0312,0.0349,10
letters_upper/E_dejavuserif-bold,letters_upper,0.5865,0.6138,0.0273,0.5451,0.5677,0.0254,0.0284,10
letters_upper/F_dejavusans-bold,letters_upper,0.6613,0.7074,0.0461,0.6289,0.6802,0.0216,0.015,10
letters_upper/F_dejavusansmono-bold,letters_upper,0.6378,0.6868,0.049,0.6059,0.6622,0.0292,0.0175,10
letters_upper/F_dejavuserif-bold,letters_upper,0.6197,0.6526,0.0329,0.6007,0.623,0.0097,0.0202,10
letters_upper/G_dejavusans-bold,letters_upper,0.6347,0.6694,0.0347,0.5764,0.6221,0.031,0.0265,10
letters_upper/G_dejavusansmono-bold,letters_upper,0.6558,0.6976,0.0418,0.6185,0.6514,0.0252,0.0282,10
letters_upper/G_dejavuserif-bold,letters_upper,0.5641,0.598,0.0339,0.52,0.5493,0.0292,0.0187,10
letters_upper/H_dejavusans-bold,letters_upper,0.5908,0.6321,0.0413,0.5392,0.5854,0.0279,0.0287,10
letters_upper/H_dejavusansmono-bold,letters_upper,0.6401,0.7108,0.0707,0.5998,0.6422,0.0255,0.0286,10
letters_upper/H_dejavuserif-bold,letters_upper,0.5553,0.5804,0.0251,0.5219,0.5441,0.0177,0.0229,10
letters_upper/I_dejavusans-bold,letters_upper,0.7578,0.791,0.0332,0.7383,0.7756,0.0156,0.0113,10
letters_upper/I_dejavusansmono-bold,letters_upper,0.6495,0.7031,0.0536,0.6313,0.6695,0.0122,0.0174,10
letters_upper/I_dejavuserif-bold,letters_upper,0.7269,0.7549,0.028,0.7062,0.7283,0.0163,0.0179,10
letters_upper/J_dejavusans-bold,letters_upper,0.7212,0.7447,0.0235,0.6589,0.6969,0.0484,0.0308,10
letters_upper/J_dejavusansmono-bold,letters_upper,0.6206,0.6781,0.0575,0.5804,0.622,0.0351,0.0247,10
letters_upper/J_dejavuserif-bold,letters_upper,0.6494,0.6793,0.0299,0.6088,0.6522,0.021,0.0147,10
letters_upper/K_dejavusans-bold,letters_upper,0.605,0.6392,0.0342,0.5646,0.6023,0.03,0.0194,10
letters_upper/K_dejavusansmono-bold,letters_upper,0.6355,0.6545,0.019,0.5922,0.6142,0.0245,0.0226,10
letters_upper/K_dejavuserif-bold,letters_upper,0.5548,0.5885,0.0337,0.5167,0.5468,0.0219,0.0281,10
letters_upper/L_dejavusans-bold,letters_upper,0.7706,0.7993,0.0287,0.7293,0.748,0.0261,0.0353,10
letters_upper/L_dejavusansmono-bold,letters_upper,0.7327,0.7778,0.0451,0.7157,0.7445,0.0165,0.0262,10
letters_upper/L_dejavuserif-bold,letters_upper,0.7201,0.7608,0.0407,0.6727,0.7175,0.0286,0.0295,10
letters_upper/M_dejavusans-bold,letters_upper,0.5503,0.5896,0.0393,0.5178,0.5509,0.0206,0.0204,10
letters_upper/M_dejavusansmono-bold,letters_upper,0.5726,0.5915,0.0189,0.5299,0.5673,0.0311,0.0225,10
letters_upper/M_dejavuserif-bold,letters_upper,0.4519,0.4809,0.029,0.4315,0.4545,0.0174,0.0175,15
letters_upper/N_dejavusans-bold,letters_upper,0.5987,0.6563,0.0576,0.5668,0.615,0.019,0.0285,10
letters_upper/N_dejavusansmono-bold,letters_upper,0.6411,0.6729,0.0318,0.601,0.6395,0.0278,0.0209,10
letters_upper/N_dejavuserif-bold,letters_upper,0.4721,0.497,0.0249,0.4352,0.4611,0.0218,0.021,15
letters_upper/O_dejavusans-bold,letters_upper,0.6695,0.7018,0.0323,0.6367,0.6722,0.0221,0.0245,10
letters_upper/O_dejavusansmono-bold,letters_upper,0.7139,0.7573,0.0434,0.6753,0.7179,0.0226,0.0222,10
letters_upper/O_dejavuserif-bold,letters_upper,0.6295,0.6515,0.022,0.5815,0.6293,0.0323,0.0154,10
letters_upper/P_dejavusans-bold,letters_upper,0.6217,0.6803,0.0586,0.5834,0.6249,0.0307,0.0284,10
letters_upper/P_dejavusansmono-bold,letters_upper,0.6554,0.6803,0.0249,0.6121,0.6561,0.028,0.0151,10
letters_upper/P_dejavuserif-bold,letters_upper,0.6053,0.6375,0.0322,0.5856,0.6155,0.0135,0.0153,10
letters_upper/Q_dejavusans-bold,letters_upper,0.6522,0.6542,0.002,0.5939,0.6299,0.0272,0.0133,10
letters_upper/Q_dejavusansmono-bold,letters_upper,0.643,0.6704,0.0274,0.6082,0.6431,0.0187,0.0225,10
letters_upper/Q_dejavuserif-bold,letters_upper,0.5868,0.6249,0.0381,0.5578,0.5943,0.0183,0.0216,10
letters_upper/R_dejavusans-bold,letters_upper,0.5701,0.648,0.0779,0.5559,0.5956,0.0113,0.0269,10
letters_upper/R_dejavusansmono-bold,letters_upper,0.6005,0.6388,0.0383,0.5615,0.6168,0.0221,0.014,10
letters_upper/R_dejavuserif-bold,letters_upper,0.5591,0.611,0.0519,0.5372,0.5732,0.0167,0.0248,10
letters_upper/S_dejavusans-bold,letters_upper,0.5831,0.5812,-0.0019,0.5508,0.5627,0.0202,0.0188,10
letters_upper/S_dejavusansmono-bold,letters_upper,0.5717,0.5986,0.0269,0.5459,0.5719,0.022,0.014,10
letters_upper/S_dejavuserif-bold,letters_upper,0.5174,0.5457,0.0283,0.4943,0.5255,0.023,0.0172,10
letters_upper/T_dejavusans-bold,letters_upper,0.6762,0.7051,0.0289,0.6413,0.6771,0.0218,0.0186,10
letters_upper/T_dejavusansmono-bold,letters_upper,0.6671,0.6777,0.0106,0.6304,0.6625,0.0185,0.0158,10
letters_upper/T_dejavuserif-bold,letters_upper,0.6271,0.6531,0.026,0.6086,0.6347,0.014,0.014,10
letters_upper/U_dejavusans-bold,letters_upper,0.6857,0.7155,0.0298,0.6411,0.6873,0.0273,0.0138,10
letters_upper/U_dejavusansmono-bold,letters_upper,0.6924,0.7199,0.0275,0.6575,0.6856,0.0283,0.0266,10
letters_upper/U_dejavuserif-bold,letters_upper,0.5488,0.5833,0.0345,0.5173,0.5405,0.0199,0.0259,10
letters_upper/V_dejavusans-bold,letters_upper,0.7227,0.7752,0.0525,0.6964,0.7474,0.0215,0.0153,10
letters_upper/V_dejavusansmono-bold,letters_upper,0.7318,0.7482,0.0164,0.7021,0.7322,0.0189,0.0126,10
letters_upper/V_dejavuserif-bold,letters_upper,0.6153,0.6582,0.0429,0.5924,0.6334,0.0154,0.018,10
letters_upper/W_dejavusans-bold,letters_upper,0.53,0.5779,0.0479,0.5125,0.5474,0.0123,0.0172,10
letters_upper/W_dejavusansmono-bold,letters_upper,0.6409,0.6571,0.0162,0.6005,0.6357,0.0203,0.0204,10
letters_upper/W_dejavuserif-bold,letters_upper,0.4774,0.5049,0.0275,0.4589,0.4839,0.0102,0.0126,10
letters_upper/X_dejavusans-bold,letters_upper,0.6214,0.6308,0.0094,0.5329,0.5806,0.0385,0.0297,10
letters_upper/X_dejavusansmono-bold,letters_upper,0.6288,0.6521,0.0233,0.5599,0.599,0.0284,0.0278,10
letters_upper/X_dejavuserif-bold,letters_upper,0.499,0.5557,0.0567,0.4823,0.5201,0.0097,0.0184,10
letters_upper/Y_dejavusans-bold,letters_upper,0.7377,0.7799,0.0422,0.7056,0.7463,0.0191,0.0181,10
letters_upper/Y_dejavusansmono-bold,letters_upper,0.7189,0.7468,0.0279,0.6904,0.7046,0.0232,0.0329,10
letters_upper/Y_dejavuserif-bold,letters_upper,0.7006,0.7121,0.0115,0.6517,0.6838,0.0187,0.0223,10
letters_upper/Z_dejavusans-bold,letters_upper,0.5894,0.6342,0.0448,0.5502,0.5846,0.0171,0.0261,10
letters_upper/Z_dejavusansmono-bold,letters_upper,0.6311,0.663,0.0319,0.5699,0.618,0.0294,0.0321,10
letters_upper/Z_dejavuserif-bold,letters_upper,0.5828,0.6282,0.0454,0.5564,0.5879,0.021,0.0187,10
objects/apple_mpeg7-01,objects,0.71,0.7412,0.0312,0.6849,0.7035,0.0172,0.0232,10
objects/apple_mpeg7-02,objects,0.6755,0.6785,0.003,0.6328,0.6605,0.0208,0.0158,10
objects/apple_mpeg7-03,objects,0.6882,0.7522,0.064,0.6669,0.6936,0.0233,0.0263,10
objects/apple_mpeg7-04,objects,0.6884,0.7193,0.0309,0.6522,0.6795,0.0214,0.0247,10
objects/apple_mpeg7-05,objects,0.7034,0.7532,0.0498,0.6662,0.6997,0.0241,0.0337,10
objects/bell_mpeg7-01,objects,0.7351,0.7644,0.0293,0.7165,0.734,0.0162,0.0271,10
objects/bell_mpeg7-02,objects,0.7461,0.7642,0.0181,0.6946,0.7212,0.0354,0.03,10
objects/bell_mpeg7-03,objects,0.7448,0.7924,0.0476,0.7168,0.7553,0.0229,0.0148,10
objects/bell_mpeg7-04,objects,0.7581,0.7836,0.0255,0.7204,0.739,0.0256,0.0284,10
objects/bell_mpeg7-05,objects,0.7293,0.7817,0.0524,0.6907,0.7311,0.0226,0.0225,10
objects/bottle_mpeg7-01,objects,0.7259,0.7718,0.0459,0.6817,0.7211,0.0307,0.0348,10
objects/bottle_mpeg7-02,objects,0.754,0.7732,0.0192,0.7167,0.7365,0.0295,0.0325,10
objects/bottle_mpeg7-03,objects,0.6962,0.7304,0.0342,0.6675,0.7037,0.0235,0.0139,10
objects/bottle_mpeg7-04,objects,0.7317,0.7431,0.0114,0.6778,0.7244,0.0256,0.0167,10
objects/bottle_mpeg7-05,objects,0.7156,0.7367,0.0211,0.6614,0.6976,0.0359,0.0342,10
objects/brick_mpeg7-01,objects,0.5778,0.6077,0.0299,0.5345,0.5712,0.0316,0.026,10
objects/brick_mpeg7-02,objects,0.5881,0.6173,0.0292,0.5318,0.5709,0.0357,0.0343,10
objects/brick_mpeg7-03,objects,0.5938,0.6228,0.029,0.5625,0.5817,0.0275,0.0223,10
objects/brick_mpeg7-04,objects,0.5774,0.5875,0.0101,0.5152,0.5416,0.0315,0.0376,10
objects/brick_mpeg7-05,objects,0.5937,0.642,0.0483,0.5521,0.5884,0.0256,0.036,10
objects/cellular-phone_mpeg7-01,objects,0.5815,0.612,0.0305,0.5287,0.556,0.0374,0.038,10
objects/cellular-phone_mpeg7-02,objects,0.5848,0.6068,0.022,0.5255,0.5457,0.0418,0.0434,10
objects/cellular-phone_mpeg7-03,objects,0.502,0.5541,0.0521,0.461,0.5051,0.0349,0.0325,10
objects/cellular-phone_mpeg7-04,objects,0.5595,0.586,0.0265,0.51,0.5454,0.0409,0.032,10
objects/cellular-phone_mpeg7-05,objects,0.5764,0.5804,0.004,0.5162,0.5464,0.0287,0.0249,10
objects/crown_mpeg7-01,objects,0.6446,0.6504,0.0058,0.6024,0.6347,0.0213,0.0138,10
objects/crown_mpeg7-02,objects,0.6325,0.6696,0.0371,0.5856,0.6216,0.0297,0.0321,10
objects/crown_mpeg7-03,objects,0.578,0.5923,0.0143,0.5268,0.5622,0.0227,0.0215,10
objects/crown_mpeg7-04,objects,0.6297,0.6555,0.0258,0.5955,0.6285,0.0274,0.0243,10
objects/crown_mpeg7-05,objects,0.5865,0.6321,0.0456,0.5496,0.5843,0.0335,0.031,10
objects/cup_mpeg7-01,objects,0.6857,0.7271,0.0414,0.6668,0.7082,0.0142,0.0144,10
objects/cup_mpeg7-02,objects,0.7271,0.7651,0.038,0.6894,0.7206,0.0284,0.0242,10
objects/cup_mpeg7-03,objects,0.7159,0.7509,0.035,0.6915,0.7294,0.0166,0.0172,10
objects/cup_mpeg7-04,objects,0.6821,0.7261,0.044,0.6304,0.6683,0.0273,0.0319,10
objects/cup_mpeg7-05,objects,0.6957,0.7405,0.0448,0.665,0.7085,0.0248,0.0206,10
objects/fork_mpeg7-01,objects,0.4134,0.4353,0.0219,0.3888,0.4179,0.0211,0.0158,15
objects/fork_mpeg7-02,objects,0.3856,0.4064,0.0208,0.3702,0.3837,0.0085,0.011,15
objects/fork_mpeg7-03,objects,0.3944,0.3903,-0.0041,0.3515,0.3712,0.0169,0.0109,15
objects/fork_mpeg7-04,objects,0.3308,0.3603,0.0295,0.3135,0.332,0.0155,0.0176,15
objects/fork_mpeg7-05,objects,0.2713,0.278,0.0067,0.2513,0.2651,0.0091,0.0075,15
objects/fountain_mpeg7-01,objects,0.658,0.7108,0.0528,0.624,0.6656,0.0214,0.0267,10
objects/fountain_mpeg7-02,objects,0.6654,0.6783,0.0129,0.5952,0.6302,0.0294,0.0226,10
objects/fountain_mpeg7-03,objects,0.668,0.6892,0.0212,0.6212,0.6456,0.0254,0.0272,10
objects/fountain_mpeg7-04,objects,0.6473,0.6898,0.0425,0.6141,0.6464,0.0247,0.0326,10
objects/fountain_mpeg7-05,objects,0.6677,0.6825,0.0148,0.6247,0.6536,0.0245,0.0166,10
objects/glas_mpeg7-01,objects,0.6332,0.6764,0.0432,0.6095,0.6357,0.0173,0.0268,10
objects/glas_mpeg7-02,objects,0.6969,0.7079,0.011,0.6327,0.667,0.025,0.0222,10
objects/glas_mpeg7-03,objects,0.6406,0.688,0.0474,0.6148,0.656,0.0148,0.0231,10
objects/glas_mpeg7-04,objects,0.6571,0.6861,0.029,0.6186,0.6605,0.0269,0.0193,10
objects/glas_mpeg7-05,objects,0.6361,0.6451,0.009,0.5961,0.6263,0.0175,0.0145,10
objects/guitar_mpeg7-01,objects,0.646,0.6585,0.0125,0.6045,0.6256,0.032,0.0304,10
objects/guitar_mpeg7-02,objects,0.5477,0.5729,0.0252,0.516,0.542,0.0187,0.0225,10
objects/guitar_mpeg7-03,objects,0.3005,0.3251,0.0246,0.2719,0.2923,0.0172,0.0167,15
objects/guitar_mpeg7-04,objects,0.5882,0.643,0.0548,0.5615,0.6033,0.0292,0.031,10
objects/guitar_mpeg7-05,objects,0.5182,0.5661,0.0479,0.4873,0.5341,0.0204,0.0176,10
objects/hammer_mpeg7-01,objects,0.3143,0.3194,0.0051,0.2683,0.2919,0.0282,0.0148,15
objects/hammer_mpeg7-02,objects,0.2911,0.3297,0.0386,0.2545,0.2805,0.0266,0.0229,15
objects/hammer_mpeg7-03,objects,0.2756,0.2977,0.0221,0.2458,0.2697,0.0216,0.0173,15
objects/hammer_mpeg7-04,objects,0.507,0.5295,0.0225,0.4819,0.513,0.0158,0.0116,10
objects/hammer_mpeg7-05,objects,0.386,0.4126,0.0266,0.34,0.3782,0.0338,0.0261,15
objects/hat_mpeg7-01,objects,0.6344,0.6676,0.0332,0.6011,0.6286,0.0176,0.0213,10
objects/hat_mpeg7-02,objects,0.6569,0.677,0.0201,0.5996,0.6348,0.0375,0.0209,10
objects/hat_mpeg7-03,objects,0.6976,0.7071,0.0095,0.655,0.6872,0.0228,0.0151,10
objects/hat_mpeg7-04,objects,0.6599,0.6962,0.0363,0.6203,0.6535,0.0284,0.0264,10
objects/hat_mpeg7-05,objects,0.6301,0.6426,0.0125,0.5867,0.6179,0.026,0.0183,10
objects/horseshoe_mpeg7-01,objects,0.5746,0.6257,0.0511,0.5425,0.5828,0.0183,0.0292,10
objects/horseshoe_mpeg7-02,objects,0.579,0.6162,0.0372,0.5389,0.5798,0.0279,0.0205,10
objects/horseshoe_mpeg7-03,objects,0.5118,0.5643,0.0525,0.4688,0.5245,0.037,0.0372,10
objects/horseshoe_mpeg7-04,objects,0.6783,0.7101,0.0318,0.6119,0.6697,0.0445,0.0242,10
objects/horseshoe_mpeg7-05,objects,0.4492,0.5116,0.0624,0.4266,0.4617,0.0142,0.0224,15
objects/jar_mpeg7-01,objects,0.8027,0.826,0.0233,0.7684,0.7916,0.0171,0.018,10
objects/jar_mpeg7-02,objects,0.6772,0.6851,0.0079,0.6211,0.651,0.0239,0.0208,10
objects/jar_mpeg7-03,objects,0.6612,0.6925,0.0313,0.6271,0.6523,0.0242,0.0236,10
objects/jar_mpeg7-04,objects,0.8069,0.8311,0.0242,0.7713,0.7993,0.0208,0.0161,10
objects/jar_mpeg7-05,objects,0.8148,0.8267,0.0119,0.7704,0.8012,0.023,0.014,10
objects/key_mpeg7-01,objects,0.5568,0.5654,0.0086,0.5187,0.5392,0.0267,0.0215,10
objects/key_mpeg7-02,objects,0.5892,0.6218,0.0326,0.5541,0.5857,0.0186,0.0258,10
objects/key_mpeg7-03,objects,0.5254,0.5668,0.0414,0.4988,0.532,0.0178,0.0175,10
objects/key_mpeg7-04,objects,0.5644,0.6053,0.0409,0.533,0.5711,0.0198,0.0203,10
objects/key_mpeg7-05,objects,0.5184,0.554,0.0356,0.4869,0.5149,0.0191,0.0264,10
objects/pencil_mpeg7-01,objects,0.4598,0.4601,0.0003,0.38,0.4295,0.0415,0.0282,15
objects/pencil_mpeg7-02,objects,0.2732,0.3258,0.0526,0.2414,0.2685,0.0219,0.0298,15
objects/pencil_mpeg7-03,objects,0.4077,0.4529,0.0452,0.369,0.4216,0.0252,0.0246,15
objects/pencil_mpeg7-04,objects,0.3477,0.3826,0.0349,0.3076,0.3319,0.028,0.0267,15
objects/pencil_mpeg7-05,objects,0.3849,0.4315,0.0466,0.3668,0.4038,0.0149,0.0226,15
objects/pocket_mpeg7-01,objects,0.5417,0.5689,0.0272,0.5256,0.5517,0.016,0.0115,10
objects/pocket_mpeg7-02,objects,0.5304,0.55,0.0196,0.4925,0.5221,0.0309,0.0183,10
objects/pocket_mpeg7-03,objects,0.6629,0.6846,0.0217,0.6268,0.6618,0.0351,0.0142,10
objects/pocket_mpeg7-04,objects,0.5412,0.561,0.0198,0.5054,0.5257,0.0243,0.0212,10
objects/pocket_mpeg7-05,objects,0.4353,0.461,0.0257,0.4167,0.4429,0.0163,0.0141,15
objects/shoe_mpeg7-01,objects,0.5987,0.6547,0.056,0.5358,0.5866,0.0402,0.0348,10
